photo_url,location_lng,location_lat,scene,scene_id,pname,cityname,adname,townName,address,tel,tag,pcode,parent,distance,importance,biz_ext,biz_type,recommend,type,discount_num,gridcode,typecode,shopinfo,poiweight,citycode,children,alias,event,entr_location,indoor_map,email,timestamp,website,adcode,postcode,match,business_area,indoor_data,childtype,exit_location,shopid,navi_poiid,groupbuy_num,isin_region,查询关键词,手机号识别,,行业大类,行业子类
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/d2ba6d938bf2be77ae9cddab161b068c'}]",108.934201,34.292581,仁济诊所(龙首北路西段),B0FFHG1WWO,陕西省,西安市,莲湖区,未央宫街道,龙首北路西段72号,182****8200;137****0001,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;诊所;诊所,0,5108375402,90300,2,[],29,[],[],[],"108.93424,34.292559",0,[],2021/12/16 4:06,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],I49F021008_433173,0,yes,,1,,医疗保健服务,诊所
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/0f54707630a35b606ef0b9dba5a55d61'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/4fd4fc01e3e7ecea432a5a6539640260'}]",108.926235,34.283928,西安莲湖王红侠口腔诊所,B001D14MY1,陕西省,西安市,莲湖区,未央宫街道,明珠巷39附近,139****1002,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;专科医院;口腔医院,0,5108374400,90202,2,[],29,[],[],[],[],0,[],2021/12/14 8:13,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,专科医院
[],108.90012,34.280952,香港新孕姿产后恢复中心(大都汇店),B0FFJCOZ6M,陕西省,西安市,莲湖区,未央宫街道,丰禾路鑫苑大都汇三楼孩子王内(太奥广场),132****4341,[],610000,B0FFFKIGGU,[],[],"{'cost': [], 'rating': '3.5'}",[],0,医疗保健服务;医疗保健服务场所;医疗保健服务场所,0,5108373220,90000,0,[],29,[],[],[],[],0,[],2021/12/7 14:13,[],610104,[],0,丰禾路,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",202,[],[],[],0,yes,,1,,医疗保健服务,医疗保健服务场所
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/11687f2f1a144a20985409d9bd474662'}]",108.911816,34.289064,济泉堂大药房,B0HBRX7M30,陕西省,西安市,莲湖区,未央宫街道,大兴东路65号蔚蓝君城10栋3单元30121号商铺,133****4760,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;药房,0,5108374222,90601,0,[],29,[],[],[],"108.911227,34.288863",0,[],2021/11/26 10:08,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/16740e990c34e11d04d3f0170acc7d91'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/6343f9b171f8e87cec7df19850b68e28'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/5e73fa9e06a0d3b439c69872ae750e58'}]",108.908483,34.280505,成人用品,B0FFH8LN0P,陕西省,西安市,莲湖区,未央宫街道,丰禾路194号门面房丰禾商务宾馆楼下,135****9397;138****7845,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;医疗保健用品,0,5108373212,90602,1,[],29,[],[],[],[],0,[],2021/12/17 11:58,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/e73cf6f0a24bd73456f765573a57f8ab'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/e48dd504d29808c6fbac84783fbf1e52'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/d83bd3f870a3f1cedf12dcf903612efe'}]",108.916192,34.281107,爱惠大药房,B0H6F74CE4,陕西省,西安市,莲湖区,未央宫街道,丰禾路41号蔚蓝花城47号东塔楼1层5号,133****3225,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;药房,0,5108373320,90601,1,[],29,[],[],[],[],0,[],2021/11/21 8:29,[],610104,[],0,丰禾路,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
[],108.915524,34.289843,量贩式宠物连锁洗护中心(大白杨南路店),B0G3T1RR12,陕西省,西安市,莲湖区,未央宫街道,大白杨南路7号,156****9129,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;动物医疗场所;宠物诊所,0,5108374320,90701,0,[],29,[],[],[],[],0,[],2021/12/7 16:43,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,动物医疗场所
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/48b1bd5d0d6e1f09cbf44d858aaf6cd5'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/ed2914f72b7ebb24596b03b52299cbde'}]",108.916658,34.288881,111医药馆(永全路店),B0FFJRRO7E,陕西省,西安市,莲湖区,未央宫街道,红庙坡街道龙湖水晶郦城底6幢1单元1层10105号111医药馆,153****9501,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;药房,0,5108374310,90601,0,[],29,[],[],[],[],0,[],2021/12/19 13:40,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
[],108.884104,34.286677,博爱康医药(第十八分店),B0H10OVWJH,陕西省,西安市,莲湖区,未央宫街道,大兴西路51号大兴果蔬服务中心南区3号房,137****7973,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;药房,0,5108374012,90601,0,[],29,[],[],[],[],0,[],2021/11/23 2:55,[],610104,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/16cdb07eb99a1477acd4c1bfff4b3409'}]",108.886186,34.288163,东张村卫生室,B0FFFO5YLM,陕西省,西安市,莲湖区,未央宫街道,大兴西路40号附近,133****6697,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;诊所;诊所,0,5108374012,90300,2,[],29,[],[],[],"108.886263,34.288243",0,[],2021/12/16 13:36,[],610104,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],I49F021008_139009,0,yes,,1,,医疗保健服务,诊所
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/9182578ef87e4f17d795a07cd5360180'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/68f5422b7d19e09d14b3cf8232c4ed57'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/d85832f05238716636440c1592434ec5'}]",108.874652,34.28661,西安莲湖若锦诊所,B0FFFO5W7V,陕西省,西安市,莲湖区,未央宫街道,大兴西路邓家村小学东北侧约30米,153****5347,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;诊所;诊所,0,5108364912,90300,2,[],29,[],[],[],"108.874543,34.286554",0,[],2021/12/16 9:19,[],610104,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],I49F021007_120340,0,yes,,1,,医疗保健服务,诊所
[],108.900282,34.288923,天兴医药(大兴东路店),B0GKGL9M32,陕西省,西安市,莲湖区,未央宫街道,永安路天朗大兴郡·蔚蓝悦城,180****8177,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;药房,0,5108374220,90601,0,[],29,[],[],[],[],0,[],2021/11/22 6:15,[],610104,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/697ea5a1c39933c9cc06789d57c6b274'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/ecf5b51c52adcb6d8a589e0fcc0918e5'}]",108.929426,34.292511,王家成骨科(龙首北路店),B0FFKCSH14,陕西省,西安市,莲湖区,未央宫街道,龙首北路西段天赐苑北门西侧2层,180****5707,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;专科医院;骨科医院,0,5108375401,90206,2,[],29,[],[],[],"108.929359,34.292693",0,[],2021/12/16 9:32,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,专科医院
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/3917c642c929d16e12c0a6c763e09c29'}]",108.911706,34.280539,莲湖区红庙坡丰禾村社区口腔,B0G3VBB7N4,陕西省,西安市,莲湖区,未央宫街道,丰禾路204号大兴实验小学东隔壁,130****3969;183****3761,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;专科医院;口腔医院,0,5108373212,90202,2,[],29,[],[],[],"108.911753,34.280654",0,[],2021/12/8 23:02,[],610104,[],0,丰禾路,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,专科医院
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/d85528e165b903f8bcd668aee1fb6616'}]",108.857875,34.287358,西安莲湖刘荣诊所,B0FFHM0BMM,陕西省,西安市,莲湖区,未央宫街道,枣园西路万科金色悦城17号楼,187****0996,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;诊所;诊所,0,5108364811,90300,2,[],29,[],[],[],[],0,[],2021/12/16 11:15,[],610104,[],0,枣园,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],I49F021007_324740,0,yes,,1,,医疗保健服务,诊所
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/dbf77f21395d5621d0a64ed8b00b2fa7'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/c8804dfe513ea0c7f4af1ad375f1c6c1'}]",108.932871,34.278587,太极大药房(纸坊村店),B0FFK7KJK5,陕西省,西安市,莲湖区,未央宫街道,工农路巴蜀商务酒店(工农路分店)西南侧约50米,158****2574,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;药房,0,5108373411,90601,0,[],29,[],[],[],[],0,[],2021/12/19 2:34,[],610104,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/1236f3793e905f4bc42faefcbf9aa4f6'}]",108.933443,34.279569,原草药房,B0FFKSZD7O,陕西省,西安市,莲湖区,未央宫街道,尚武门立交与工农路交叉口东北100米,135****0986,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;药房,0,5108373412,90601,0,[],29,[],[],[],[],0,[],2021/12/16 7:47,[],610104,[],0,[],"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/f2ba0bcaaa032d8a19c6ced1b4812253'}]",108.912995,34.291066,聚朋友大药房,B0FFJ2WDQF,陕西省,西安市,莲湖区,未央宫街道,大兴新区劳动北路大兴郡蔚蓝生活广场1号楼,155****2272,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;药房,0,5108374320,90601,0,[],29,[],[],[],[],0,[],2021/11/23 2:38,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/86b7123c20492eba0c45f8f92e33d7bf'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/477c1fcabf9c30a63b609194714793a6'}]",108.929054,34.284558,云南文山三七养生堂,B0FFM7SB76,陕西省,西安市,莲湖区,未央宫街道,大观园三厅便民蔬菜市场内北排95号,176****3885,[],610000,B0FFGACRR0,[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;医疗保健用品,0,5108374400,90602,1,[],29,[],[],[],[],0,[],2021/12/16 7:10,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",202,[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/3d60c93bfd788c3ad3dde5f55d440f79'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/a99c78cfe81f02f4dea8d61cf3b04353'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/988a204cdf2e81bf6ae04b4b14337eeb'}]",108.905707,34.29248,亮云蓝眼视光中心,B0GDFSWLEP,陕西省,西安市,莲湖区,未央宫街道,梨园路御园温泉小区2号楼底商一层,187****1680,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;医疗保健用品,0,5108375201,90602,1,[],29,[],[],[],"108.905775,34.292689",0,[],2021/12/16 8:03,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/c5649c68265938bf4f4ff4aa62721ee7'}]",108.913937,34.287314,新增视视力服务中心,B0FFME9MTO,陕西省,西安市,莲湖区,未央宫街道,大兴东路金辉C园3幢3单元一层30106,199****3436,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;医疗保健用品,0,5108374310,90602,1,[],29,[],[],[],[],0,[],2021/12/7 16:43,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
[],108.858618,34.281754,康悦福医疗,B0FFK6CXXQ,陕西省,西安市,莲湖区,未央宫街道,枣园街道枣园西路219号万国远鉴名筑5号楼,186****8066,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医疗保健服务场所;医疗保健服务场所,0,5108363821,90000,0,[],29,[],[],[],[],0,[],2021/11/25 14:57,[],610104,[],0,枣园,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医疗保健服务场所
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/360a0d8f52c5126d11f49846d6536f65'}]",108.895439,34.286143,西安莲湖京丽中医(综合)诊所,B0FFLCPK0Y,陕西省,西安市,莲湖区,未央宫街道,大兴东路88号,134****9321,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;诊所;诊所,0,5108374111,90300,2,[],29,[],[],[],[],0,[],2021/11/26 0:14,[],610104,[],0,丰禾路,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,诊所
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/b8b43af46038303226d421a39d28675b'}]",108.918312,34.280648,道圣康膜保健用品馆丰禾路店,B0H2K571BF,陕西省,西安市,莲湖区,未央宫街道,丰禾路15号商储家属院门口,156****3167,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;医疗保健用品,0,5108373321,90602,1,[],29,[],[],[],"108.918307,34.280729",0,[],2021/12/1 17:40,[],610104,[],0,丰禾路,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/467a60bc0025bac420b92ff1af00fb94'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/e2ee2c58161afe3616ce992b4294bee9'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/fe4af051a0239613333c753fcd119ac5'}]",108.93179,34.28479,西安莲湖袁修龙诊所,B0FFF652P0,陕西省,西安市,莲湖区,未央宫街道,兴中路与工农路交叉口西150米,136****0166,[],610000,[],[],[],"{'cost': [], 'rating': '3.0'}",[],0,医疗保健服务;诊所;诊所,0,5108374401,90300,2,[],29,[],[],[],[],0,[],2021/11/29 17:51,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],I49F021008_118983,0,yes,,1,,医疗保健服务,诊所
[],108.914767,34.291112,紫薇星(莲湖区蔚蓝君城店),B0FFLHLFCZ,陕西省,西安市,莲湖区,未央宫街道,天朗·大兴郡蔚蓝君城(大白杨南路),187****1281,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医药保健销售店;医疗保健用品,0,5108374320,90602,0,[],29,[],[],[],[],0,[],2021/12/15 12:09,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,医药保健销售店
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/1466524ac31587baed2ac4a814fcff76'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/e1e471a33efefd1996c114fc7b192d30'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/979ff0def58c15078b29b7841f3acf3e'}]",108.936663,34.292515,鸿业国医堂,B0FFKHGR0Q,陕西省,西安市,莲湖区,未央宫街道,龙首北路西段42号商用综合楼1-2层,135****6762;029-89377012,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;诊所;诊所,0,5108375402,90300,2,[],29,[],[],[],"108.936693,34.292753",0,[],2021/12/16 3:45,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,诊所
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/ef9966a449c8936d65260b125c41bf31'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/96c75a0855b4eb484d4096f6f6d5be39'}]",108.928955,34.291555,洪柱中医诊所,B0FFKCCH2A,陕西省,西安市,莲湖区,未央宫街道,永兴路,177****8965,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;诊所;诊所,0,5108374420,90300,2,[],29,[],[],[],"108.928792,34.291555",0,[],2021/12/16 9:21,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,诊所
[],108.926256,34.292493,陕西双博中医肝肾病医院-口腔科门诊,B0HAXDNAZP,陕西省,西安市,莲湖区,未央宫街道,龙首北路154号陕西双博中医肝肾病医院一层,177****9018,[],610000,B001D09L5K,[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;医疗保健服务场所;医疗保健服务场所,0,5108375400,90000,0,[],29,[],[],[],[],0,[],2021/11/22 8:56,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",307,[],[],[],0,yes,,1,,医疗保健服务,医疗保健服务场所
"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/6b18c231e0e6548e4f3950450cbb87ac'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/1d8b78066770b15ed586fba9f095b2a2'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/9fa8d02641b54b81bdcba44198da5d8e'}]",108.92298,34.287371,天延堂中医,B0FFKF2NIU,陕西省,西安市,莲湖区,未央宫街道,红庙坡大兴东路与星火路十字东北角,157****4888;029-89121058,[],610000,[],[],[],"{'cost': [], 'rating': []}",[],0,医疗保健服务;诊所;诊所,0,5108374312,90300,2,[],29,[],[],[],"108.922432,34.286705",0,[],2021/12/16 7:44,[],610104,[],0,红庙坡,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],[],[],[],0,yes,,1,,医疗保健服务,诊所
